,Id,Filename,Species,Genus,Sub-Family,Family,Sub-Order,Order,Super-Order,Name,Common-Name,DTI resolution,SNR,Brain Orientation,GM,WM,log10(GM),log10(WM),log10(BrV),BR,TotFib,CC,AC,HC,Total Commisures,Com Ratio,Total MSP,HMSP (RA),HMSP (LB),AvHMSP,TNetDens,HNetDens,Strong NetDens (>20),Hcost,Tcost,n
23,23,CapraNubiana1,Capra Nubiana,Capra,Caprinae,Bovidae,Ruminantia,Cetartiodactyla,Laurasiatheria,Capra Nubiana,Nubian ibex,0.74,46.20353289,RL,78.35,15.89,4.894039001,4.201123897,4.974235277,94.24,58372,6129,51,467,6647,11.38730898,133.5441499,52.92966305,51.92306192,52.42636248,0.30387,17.488,1.26,640522.1,682014.9,4.0
24,24,CapraNubiana2,Capra Nubiana,Capra,Caprinae,Bovidae,Ruminantia,Cetartiodactyla,Laurasiatheria,Capra Nubiana,Nubian ibex,0.813,86.05274086,RL,74.87,22.04,4.874307833,4.34321159,4.986368594,96.91,49725,3950,1,1667,5618,11.29813977,132.1707709,52.90928504,49.12013333,51.01470918,0.31009,17.5925,1.24,764347.55,802259.5,4.0
25,25,CapraNubiana3,Capra Nubiana,Capra,Caprinae,Bovidae,Ruminantia,Cetartiodactyla,Laurasiatheria,Capra Nubiana,Nubian ibex,0.773,58.66339405,RL,71.16,17.37,4.852235939,4.239799818,4.947090464,88.53,58090,3617,70,668,4355,7.496987433,125.6779093,49.57243905,51.29727833,50.43485869,0.30443,17.4385,1.17,688504.1,722180.0,4.0
26,26,CapraNubiana4,Capra Nubiana,Capra,Caprinae,Bovidae,Ruminantia,Cetartiodactyla,Laurasiatheria,Capra Nubiana,Nubian ibex,0.8,87.25326159,RL,93.35,21.15,4.970114322,4.325310372,5.058805487,114.5,67474,6858,66,583,7507,11.12576696,120.8398697,45.09973064,51.23756792,48.16864928,0.29895,17.3335,1.28,738827.55,751162.8,4.0
27,27,Capuchin1,Capuchin,Cebus,Cebinae,Cebidae,Haplorrhini,Primates,Euarchontoglires,Capuchin,Wedge-capped capuchin,0.653,38.01589674,RL,48.55,13.41,4.686189234,4.127428778,4.792111409,61.96,87690,12058,184,655,12897,14.7074923,126.0442062,48.57647916,55.0220444,51.79926178,0.33284,19.4285,1.09,777039.7,826207.0,3.0
28,28,Capuchin2,Capuchin,Cebus,Cebinae,Cebidae,Haplorrhini,Primates,Euarchontoglires,Capuchin,Wedge-capped capuchin,0.66,63.59451701,RL,55.04,13.96,4.740678425,4.144885418,4.838849091,69.0,99832,13043,365,263,13671,13.69400593,130.6347153,53.08774459,51.49733027,52.29253743,0.33912,19.708,1.19,769023.65,844761.8,3.0
29,29,Capuchin3,Capuchin,Cebus,Cebinae,Cebidae,Haplorrhini,Primates,Euarchontoglires,Capuchin,Wedge-capped capuchin,0.65,51.92542676,RL,51.4,10.49,4.710963119,4.020775488,4.791620483,61.89,89091,9318,158,1054,10530,11.81937569,138.6528376,53.75585557,56.93933048,55.34759303,0.36677,21.623,1.0,783719.3,827957.3,3.0
30,30,Capybara,Hydrochoerus hydrochaeris,Hydrochoerus,Hydrochoerinae,Caviidae,Hystricomorpha,Rodentia,Euarchontoglires,Capybara,Capybara,0.64,34.13788162,RL,38.99,7.42,4.590953235,3.870403905,4.666611568,46.41,71235,4811,516,2330,7657,10.7489296,122.6682375,48.85887186,51.8457123,50.35229208,0.33338,19.1635,1.2,738067.2,814448.8,1.0
31,31,Caracal,Caracal caracal,Caracal,Felinae,Felidae,Feliformia,Carnivora,Laurasiatheria,Caracal,Caracal,0.6,40.69437936,RL,41.45,20.64,4.617524535,4.314709693,4.79302166,62.09,106215,9579,387,993,10959,10.31775173,134.1411032,58.39869658,50.57538246,54.48703952,0.34493,20.0815,1.06,777185.65,812717.8,1.0
32,32,CarolliaPerspicilatta1,Carollia perspicilatta,carollia,Carolliinae,Phyllostomidae,Yangochiroptera,Chiroptera,Laurasiatheria,Carollia Perspicilatta,Seba's short-tailed bat,0.15,21.93811671,RL,0.33811,0.011266,2.529058016,1.051769747,2.543293068,0.349376,55610,2476,958,948,4382,7.87987772,122.5381534,48.8927833,50.9096426,49.90121295,0.29026,15.8455,1.31,724576.0,788639.7,2.0
33,33,CarolliaPerspicilatta2,Carollia perspicilatta,carollia,Carolliinae,Phyllostomidae,Yangochiroptera,Chiroptera,Laurasiatheria,Carollia Perspicilatta,Seba's short-tailed bat,0.135,15.80328976,RL,0.3,0.0068,2.477121255,0.832508913,2.486855355,0.3068,51841,2742,1643,783,5168,9.9689435,123.4251915,50.34704976,47.15685333,48.75195154,0.28633,15.134,1.3,708312.1,783607.9,2.0
34,34,Cat1,Felis Catus,Felis,Felinae,Felidae,Feliformia,Carnivora,Laurasiatheria,Cat,Domestic cat,0.5,28.34959814,RL,19.18,3.73,4.282848603,3.571708832,4.360025089,22.91,48162,3659,1025,205,4889,10.15115651,133.7570123,52.96307281,55.37093621,54.16700451,0.33818,19.918,1.02,702358.95,736872.5,6.0
35,35,Cat2,Felis Catus,Felis,Felinae,Felidae,Feliformia,Carnivora,Laurasiatheria,Cat,Domestic cat,0.5,38.79520724,RL,17.33,2.25,4.238798563,3.352182518,4.291812687,19.58,51357,5035,251,1139,6425,12.51046595,126.4636012,48.39036203,53.3328757,50.86161887,0.32423,18.5635,1.15,702849.45,748070.2,6.0
36,36,Cat3,Felis Catus,Felis,Felinae,Felidae,Feliformia,Carnivora,Laurasiatheria,Cat,Domestic cat,0.54,46.02277376,RL,17.16,2.848,4.234517284,3.454539985,4.301203679,20.008,43802,4905,298,822,6025,13.75507968,138.133507,56.75428713,55.02496128,55.8896242,0.33649,19.5995,0.99,679385.15,737280.6,6.0
37,37,Cat4,Felis Catus,Felis,Felinae,Felidae,Feliformia,Carnivora,Laurasiatheria,Cat,Domestic cat,0.5,34.35753479,RL,16.37,3.49,4.214048679,3.542825427,4.297979244,19.86,52359,6510,171,1311,7992,15.26385149,132.8858308,53.87014672,53.70854896,53.78934784,0.348,20.388,1.04,787649.4,840660.2,6.0
38,38,Cat5,Felis Catus,Felis,Felinae,Felidae,Feliformia,Carnivora,Laurasiatheria,Cat,Domestic cat,0.48,27.17196539,RL,17.5,3.4229,4.243038049,3.534394211,4.320621879,20.9229,86800,9027,604,1997,11628,13.39631336,135.6896356,58.33839601,56.71802156,57.52820879,0.37544,21.9475,0.83,823544.5,875853.7,6.0
39,39,Cat6,Felis Catus,Felis,Felinae,Felidae,Feliformia,Carnivora,Laurasiatheria,Cat,Domestic cat,0.54,39.15952786,RL,22.89,4.94,4.359645793,3.693726949,4.444513206,27.83,64729,7065,282,702,8049,12.43492098,139.4780563,55.66970472,58.70902676,57.18936574,0.3439,21.0885,0.85,733147.15,761264.0,6.0
