,Unnamed: 0,num_simplices,max_order_simplex,index_study,Nmax_clique,argmax
151,0,"[200, 4491, 39119, 185183, 553188, 1129456, 1648778, 1763723, 1400668, 833298, 376383, 132369, 37441, 8581, 1502, 174, 10]",17,151,1763723,7
152,0,"[200, 3888, 23474, 65665, 102779, 99361, 62246, 25580, 6734, 1048, 79, 2]",12,152,102779,4
153,0,"[200, 3239, 17042, 43275, 63435, 58968, 36672, 15695, 4651, 930, 115, 7]",12,153,63435,4
154,0,"[200, 4222, 26965, 79089, 130744, 136332, 95434, 46268, 15536, 3469, 481, 41, 2]",13,154,136332,5
155,0,"[200, 3983, 26124, 82633, 150377, 172358, 129607, 64577, 21201, 4517, 595, 42, 1]",13,155,172358,5
156,0,"[200, 4235, 30353, 104759, 205480, 251457, 203475, 112964, 43830, 11835, 2153, 246, 14]",13,156,251457,5
157,0,"[200, 3905, 26624, 90589, 183368, 246220, 233532, 160413, 79484, 27670, 6474, 968, 89, 4]",14,157,246220,5
158,0,"[200, 3950, 25441, 76642, 126608, 123804, 73738, 26653, 5713, 698, 44, 1]",12,158,126608,4
159,0,"[200, 4108, 27087, 86993, 166708, 209495, 178240, 102776, 39517, 9778, 1467, 124, 5]",13,159,209495,5
160,0,"[200, 3976, 24896, 70730, 108038, 97390, 54427, 19281, 4337, 586, 36]",11,160,108038,4
161,0,"[200, 3914, 24660, 73700, 126556, 139498, 104784, 54597, 19245, 4269, 518, 25]",12,161,139498,5
162,0,"[200, 3541, 19065, 48945, 75759, 80080, 60860, 33453, 12944, 3291, 471, 25]",12,162,80080,5
163,0,"[200, 4139, 27590, 88572, 166281, 202478, 168999, 99355, 41440, 12108, 2367, 274, 13]",13,163,202478,5
164,0,"[200, 2784, 8785, 9814, 5020, 1305, 145, 2]",8,164,9814,3
165,0,"[200, 2924, 10606, 15745, 12359, 5876, 1797, 345, 30]",9,165,15745,3
166,0,"[200, 4158, 26957, 81404, 139475, 152732, 116895, 67262, 30623, 11297, 3341, 745, 110, 8]",14,166,152732,5
167,0,"[200, 5289, 51159, 253655, 751325, 1445411, 1902583, 1776566, 1211514, 620191, 244261, 74713, 17312, 2823, 283, 13]",16,167,1902583,6
168,0,"[200, 2964, 11795, 20037, 18330, 10141, 3483, 713, 81, 4]",10,168,20037,3
169,0,"[200, 3008, 11392, 17375, 13951, 6747, 2057, 394, 40, 1]",10,169,17375,3
170,0,"[200, 4246, 28458, 88286, 154888, 173348, 134968, 78449, 35850, 13125, 3807, 844, 129, 10]",14,170,173348,5
171,0,"[200, 4895, 43254, 184813, 437773, 620613, 552349, 319946, 124209, 32784, 5753, 615, 31]",13,171,620613,5
172,0,"[200, 4680, 34551, 112034, 193576, 206412, 152058, 82535, 32954, 9154, 1607, 149, 4]",13,172,206412,5
173,0,"[200, 4277, 30594, 105361, 208898, 263362, 222970, 129692, 51307, 13144, 1952, 128]",12,173,263362,5
174,0,"[200, 4663, 32184, 94431, 145654, 136347, 86162, 39729, 13816, 3548, 626, 66, 3]",13,174,145654,4
175,0,"[200, 2897, 12037, 22360, 22146, 12330, 3785, 601, 47, 2]",10,175,22360,3
176,0,"[200, 3705, 21106, 55265, 81316, 74832, 45021, 17594, 4238, 562, 31]",11,176,81316,4
177,0,"[200, 4416, 29918, 89615, 143061, 135868, 82587, 34208, 10259, 2337, 399, 43, 2]",13,177,143061,4
178,0,"[200, 3799, 20722, 52090, 76623, 73493, 48091, 21639, 6478, 1172, 103, 2]",12,178,76623,4
179,0,"[200, 3049, 13282, 24479, 21444, 9578, 2217, 250, 9]",9,179,24479,3
180,0,"[200, 3390, 18134, 46328, 68483, 64305, 40064, 16952, 4932, 987, 138, 15, 1]",13,180,68483,4
181,0,"[200, 3334, 13993, 23331, 19341, 8859, 2264, 293, 16]",9,181,23331,3
182,0,"[200, 3995, 23935, 70220, 123692, 144044, 117936, 70398, 30547, 9209, 1781, 197, 10]",13,182,144044,5
183,0,"[200, 4252, 29221, 98978, 202177, 272942, 252126, 159256, 66753, 17490, 2598, 191, 6]",13,183,272942,5
184,0,"[200, 3250, 12250, 16596, 10323, 3368, 628, 71, 5]",9,184,16596,3
185,0,"[200, 3423, 18738, 49076, 72812, 66902, 39768, 15488, 3868, 565, 37]",11,185,72812,4
186,0,"[200, 3123, 12844, 20384, 15285, 6468, 1766, 317, 31, 1]",10,186,20384,3
187,0,"[200, 2863, 11045, 18362, 16152, 8218, 2411, 384, 28, 1]",10,187,18362,3
188,0,"[200, 3029, 11645, 18393, 15563, 7989, 2483, 439, 31]",9,188,18393,3
189,0,"[200, 2207, 6107, 6943, 3884, 1191, 209, 21, 1]",9,189,6943,3
190,0,"[200, 2814, 8627, 8576, 3187, 483, 28]",7,190,8627,2
191,0,"[200, 3781, 22991, 66160, 104960, 100095, 61096, 24648, 6364, 937, 63, 1]",12,191,104960,4
192,0,"[199, 5075, 46377, 213210, 584001, 1045525, 1294244, 1147620, 744245, 356448, 126150, 32675, 6034, 752, 57, 2]",16,192,1294244,6
193,0,"[200, 3180, 12905, 20900, 16802, 7408, 1814, 239, 15]",9,193,20900,3
194,0,"[200, 2851, 9885, 14168, 11008, 5132, 1437, 221, 14]",9,194,14168,3
195,0,"[200, 2626, 8748, 13394, 11442, 5619, 1666, 338, 59, 6]",10,195,13394,3
196,0,"[200, 2357, 7740, 11802, 10583, 6309, 2657, 806, 165, 17]",10,196,11802,3
197,0,"[200, 2980, 11146, 17787, 15167, 7781, 2446, 421, 28]",9,197,17787,3
198,0,"[200, 2693, 9178, 13101, 9934, 4539, 1372, 297, 47, 4]",10,198,13101,3
199,0,"[200, 2667, 8984, 12845, 9766, 4494, 1268, 209, 19, 1]",10,199,12845,3
200,0,"[200, 3293, 12895, 18357, 11853, 3978, 783, 84, 4]",9,200,18357,3
